target_id,function,y,num_instructions,num_blocks,num_edges,num_calls,num_cond_jumps,has_loop,num_mem_reads,num_mem_writes,num_stack_writes,num_non_stack_writes,num_rip_relative_accesses,num_arg_based_mem_accesses,num_small_constants,num_power2_constants,has_page_constant_0xfff,has_page_size_0x1000,has_negative_one,num_cmp,num_test,num_and_or_xor,num_add_sub,num_lea,num_shifts,has_call_under_branch,has_write_under_branch,has_short_error_return,has_return_zero,has_return_negative,num_indirect_calls,num_indirect_jumps,has_jump_table_like_pattern,num_scaled_index_memory_accesses,region_max_num_instructions,region_max_num_successors,region_max_num_predecessors,region_max_num_calls,region_max_num_cond_jumps,region_max_num_mem_reads,region_max_num_mem_writes,region_max_num_stack_writes,region_max_num_non_stack_writes,region_max_num_rip_relative_accesses,region_max_num_arg_based_mem_accesses,region_max_num_small_constants,region_max_num_power2_constants,region_max_has_page_constant_0xfff,region_max_has_page_size_0x1000,region_max_has_negative_one,region_max_num_cmp,region_max_num_test,region_max_num_and_or_xor,region_max_num_add_sub,region_max_num_lea,region_max_num_shifts,region_max_has_call,region_max_has_mem_write,region_max_has_return_zero,region_max_has_return_negative,region_max_num_indirect_calls,region_max_num_indirect_jumps,region_max_num_scaled_index_memory_accesses,branch_region_max_num_instructions,branch_region_max_num_successors,branch_region_max_num_predecessors,branch_region_max_num_calls,branch_region_max_num_cond_jumps,branch_region_max_num_mem_reads,branch_region_max_num_mem_writes,branch_region_max_num_stack_writes,branch_region_max_num_non_stack_writes,branch_region_max_num_rip_relative_accesses,branch_region_max_num_arg_based_mem_accesses,branch_region_max_num_small_constants,branch_region_max_num_power2_constants,branch_region_max_has_page_constant_0xfff,branch_region_max_has_page_size_0x1000,branch_region_max_has_negative_one,branch_region_max_num_cmp,branch_region_max_num_test,branch_region_max_num_and_or_xor,branch_region_max_num_add_sub,branch_region_max_num_lea,branch_region_max_num_shifts,branch_region_max_has_call,branch_region_max_has_mem_write,branch_region_max_has_return_zero,branch_region_max_has_return_negative,branch_region_max_num_indirect_calls,branch_region_max_num_indirect_jumps,branch_region_max_num_scaled_index_memory_accesses,loop_region_max_num_instructions,loop_region_max_num_successors,loop_region_max_num_predecessors,loop_region_max_num_calls,loop_region_max_num_cond_jumps,loop_region_max_num_mem_reads,loop_region_max_num_mem_writes,loop_region_max_num_stack_writes,loop_region_max_num_non_stack_writes,loop_region_max_num_rip_relative_accesses,loop_region_max_num_arg_based_mem_accesses,loop_region_max_num_small_constants,loop_region_max_num_power2_constants,loop_region_max_has_page_constant_0xfff,loop_region_max_has_page_size_0x1000,loop_region_max_has_negative_one,loop_region_max_num_cmp,loop_region_max_num_test,loop_region_max_num_and_or_xor,loop_region_max_num_add_sub,loop_region_max_num_lea,loop_region_max_num_shifts,loop_region_max_has_call,loop_region_max_has_mem_write,loop_region_max_has_return_zero,loop_region_max_has_return_negative,loop_region_max_num_indirect_calls,loop_region_max_num_indirect_jumps,loop_region_max_num_scaled_index_memory_accesses,num_block_regions,has_block_region,num_branch_regions,has_branch_region,num_loop_regions,has_loop_region,eff_privilege_identity,eff_capability,eff_exec,eff_file_mutation,eff_mount,eff_rlimit,eff_total,eff_ncats,reach_privilege_identity,reach_capability,reach_exec,reach_file_mutation,reach_mount,reach_rlimit,reach_any,reach_ncats,reach_dist,reach_neff_callees,s_count,s_path,s_syspath,s_shell,s_cred,s_cap,s_fmt,p_nparam,p_nptr
dropbear_2022_83,m_realloc,0,27,6,7,3,2,0,5,3,3,0,2,0,9,8,0,0,0,2,0,0,1,3,0,1,0,0,1,0,0,0,0,0,8,2,2,1,1,2,2,2,0,1,0,3,4,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,12,2,2,2,1,3,1,1,0,1,0,5,3,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
dropbear_2022_83,dropbear_curve25519_scalarmult,0,262,41,45,27,5,1,48,26,25,1,1,5,39,33,0,0,0,4,0,6,15,71,2,1,1,0,0,0,0,0,0,15,21,2,2,1,1,13,5,5,1,1,4,10,12,0,0,0,1,0,3,3,4,2,1,1,1,1,0,0,8,145,2,2,22,1,13,5,5,1,1,4,10,12,0,0,0,0,0,3,7,58,2,1,1,0,1,0,0,8,147,1,1,22,1,14,5,5,1,1,4,11,12,0,0,0,1,0,2,3,58,2,1,1,0,0,0,0,8,41,1,10,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
dropbear_2022_83,send_msg_newkeys,0,25,7,7,4,1,0,4,4,0,4,8,0,7,5,0,0,0,0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,7,2,2,1,1,2,2,0,2,3,0,3,2,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,10,1,2,2,0,1,2,0,2,3,0,4,2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dropbear_2022_83,ltc_init_multi,0,102,22,28,3,7,1,23,34,34,0,2,0,20,16,0,0,0,3,3,1,7,8,0,1,1,0,0,0,2,0,0,0,13,2,2,1,1,3,8,8,0,1,0,3,4,0,0,0,1,1,1,2,2,0,1,1,1,0,1,0,0,30,3,2,1,2,9,8,8,0,1,0,6,5,0,0,0,1,1,1,3,3,0,1,1,1,0,1,0,0,62,2,1,2,5,21,13,13,0,2,0,12,9,0,0,0,3,2,0,5,5,0,1,1,0,0,2,0,0,22,1,14,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
dropbear_2022_83,first_usable_algo,0,44,7,8,0,2,1,9,3,3,0,0,0,16,10,0,0,0,0,2,0,7,0,6,0,1,0,1,0,0,0,0,0,12,2,2,0,1,3,2,2,0,0,0,4,2,0,0,0,0,1,0,2,0,2,0,1,1,0,0,0,0,23,2,1,0,1,6,1,1,0,0,0,8,6,0,0,0,0,1,0,5,0,4,0,1,1,0,0,0,0,35,2,1,0,2,9,1,1,0,0,0,12,8,0,0,0,0,2,0,7,0,6,0,1,0,0,0,0,0,7,1,4,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
dropbear_2022_83,recv_msg_channel_data,0,17,3,2,2,0,0,5,1,1,0,0,0,6,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,1,1,1,0,5,1,1,0,0,0,4,4,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dropbear_2022_83,signature_name_from_type,0,29,10,13,1,4,0,8,4,2,2,2,0,16,12,0,0,0,4,0,0,1,3,0,1,1,0,0,0,0,0,0,0,8,2,3,1,1,2,2,2,1,1,0,5,5,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,11,3,2,1,2,5,1,0,1,1,0,7,5,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,8,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
dropbear_2022_83,cbuf_getavail,0,12,1,0,0,0,0,4,1,1,0,0,0,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,1,1,0,0,0,5,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
dropbear_2022_83,crypt_argchk,0,17,2,1,2,0,0,4,3,3,0,2,0,6,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,16,1,1,1,0,4,3,3,0,2,0,6,6,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
dropbear_2022_83,s_mp_sqr,0,274,27,37,5,12,1,61,32,23,9,0,29,191,125,0,0,0,6,4,21,38,7,16,1,1,0,0,0,0,0,0,3,71,2,2,1,1,13,6,6,4,0,12,75,46,0,0,0,1,1,6,13,3,8,1,1,0,1,0,0,2,74,5,2,3,4,18,7,7,4,0,12,75,46,0,0,0,3,1,6,13,4,8,1,1,0,1,0,0,3,211,1,1,0,9,48,20,11,9,0,28,170,110,0,0,0,6,2,21,33,5,16,0,1,0,0,0,0,3,27,1,24,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
